"p1.20160322"	"p1.20160401"	"p3.20160322"	"p3.20160401"	"p3.20160714"	"p3.20160811"	"p4.20160322"	"p4.20160401"	"p4.20160415"	"p4.20160713"	"p4.20160727"	"p5.20160322"	"p5.20160415"	"p5.20160715"	"p5.20160817"	"p6.20160322"	"p6.20160415"	"p6.20160701"	"p6.20160726"	"p7.20160322"	"p7.20160415"	"p7.20160713"	"p7.20160729"	"p8.20160720"	"p8.20160825"
"196"	468	985	4708	1257	302	698	3623	1033	1927	1008	1886	71	387	130	227	16	514	28	16	21	17	52	30	68	61
"197"	12	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2
"198"	56	28	48	34	119	100	178	10	22	31	65	18	2	35	17	13	21	50	12	10	5493	132	2	80	133
"199"	332	45166	186315	142568	337756	269777	18019	33940	98295	290410	536343	5462383	5480099	2475704	2123623	5605097	4693811	4063508	4439995	6852531	3116461	3413384	3582908	4324358	3893484
"200"	799	3399	8966	3991	2280	10072	2725	5748	2495	24901	27734	412	1106	2940	7492	272	894	117	87	67	67	427	57	2155	2536
"201"	18	144	122	186	9	63	21	282	210	17	30	262	167	23	36	10	358	81	154	149	75	164	19	121	457
"202"	96	658	1687	1120	186	142	635	227	215	144	266	0	24	11	21	0	38	2	2	0	9	5	0	12	7
"203"	62	905	549	962	164	99	716	187	676	589	91	30	46	11	78	38	25	15	9	4	320	86	6	46	102
"204"	29	379	393	195	151	46	453	754	89	70	93	9630	5944	2699	3341	8661	7651	5351	1953	8556	3951	2503	2364	2897	7333
"205"	499	4361	9551	4658	405	670	3565	4646	2820	813	1045	51	201	63	71	20	226	57	9	8	30	41	2	22	23
"206"	7	0	0	0	4	0	2	0	0	0	0	0	7	0	0	0	11	0	0	0	0	0	0	0	2
"207"	1486	3247	8253	2541	278	897	1549	1279	853	394	811	50	128	37	111	8	124	15	37	16	13	16	2	36	37
"208"	142	2050	3959	1992	210	333	1087	1025	489	259	554	10	34	39	24	13	55	3	6	3	10	16	12	30	58
